epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
1,0.46819212681441397,84.86574074074075,0.24759616078974228,91.77777777777777,0.001
2,0.2840004760440853,90.75,0.20281802205997107,93.51851851851852,0.001
3,0.2508986744588172,91.88425925925925,0.20404908057996596,93.46296296296296,0.001
4,0.22420161040016898,92.47685185185185,0.16793167854234928,94.68518518518519,0.001
5,0.2033953870791528,93.44907407407408,0.17251145316717717,94.29629629629629,0.001
6,0.20199172587168437,93.60185185185185,0.13095602784416027,95.70370370370371,0.001
7,0.1930807596155339,93.57407407407408,0.14904110327351994,95.57407407407408,0.001
8,0.18805039011493876,93.84722222222223,0.15039508803554716,94.85185185185185,0.001
9,0.17191490151815944,94.37037037037037,0.1349445392140711,95.68518518518519,0.001
10,0.17922508899398423,94.12037037037037,0.12833332905226205,95.72222222222223,0.001
11,0.16344849399325473,94.50925925925925,0.13650620206584327,95.53703703703704,0.001
12,0.1633130795508623,94.76851851851852,0.14545743904192243,95.33333333333333,0.001
13,0.15804296464279846,94.82407407407408,0.13479014706230286,95.46296296296296,0.001
14,0.14583061882777623,95.01388888888889,0.11945806421717,96.12962962962963,0.001
15,0.14297974515844275,95.17592592592592,0.127438613756411,95.96296296296296,0.001
16,0.147781290208093,95.07870370370371,0.13368367894205468,95.81481481481481,0.001
17,0.1382376210881328,95.41666666666667,0.11388756301165862,96.35185185185185,0.001
18,0.13324093882736093,95.51851851851852,0.15648380981085921,95.29629629629629,0.001
19,0.13440510107756212,95.33333333333333,0.1276867359521187,96.16666666666667,0.001
20,0.13272876831806368,95.61111111111111,0.14006344579331048,95.68518518518519,0.001
21,0.13049691006368785,95.92129629629629,0.13685044123427448,95.68518518518519,0.001
22,0.12515855160196898,95.94444444444444,0.12975003661108397,95.83333333333333,0.001
23,0.12554668913992054,95.82870370370371,0.11763883372438112,96.22222222222223,0.0005
24,0.10038996085352092,96.5,0.09408351344940909,97.0925925925926,0.0005
25,0.08721168645157444,97.0,0.09334174528877807,96.92592592592592,0.0005
26,0.08204431420295603,97.20833333333333,0.10409471209811257,96.77777777777777,0.0005
27,0.0802499262761773,97.17592592592592,0.091855612648899,97.38888888888889,0.0005
28,0.08203250914708608,97.16203703703704,0.09804821644734713,96.70370370370371,0.0005
29,0.07572364090148498,97.42592592592592,0.09293423588084575,96.61111111111111,0.0005
30,0.07705291526633556,97.30092592592592,0.0917897098856157,97.11111111111111,0.0005
